county_name,customers_tracked,customers_out,outage%,last_updated,electric_providers
Pinellas,"571,017","2,882",0.5%,10/2/2022 1:43:30 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:56 AM GMT'], 'Duke Energy': ['559,871', '2,873', '10/2/2022 1:40:04 AM GMT'], 'Tampa Electric': ['11,146', '9', '10/2/2022 1:43:30 AM GMT']}"
Polk,"355,073","47,023",13.24%,10/2/2022 1:43:30 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:56 AM GMT'], 'Duke Energy': ['126,309', '12,192', '10/2/2022 1:40:04 AM GMT'], 'Lake Land Electric': ['133,517', '11,539', '10/2/2022 1:43:30 AM GMT'], 'Peace River Electric Coop': ['5,589', '197', '10/2/2022 1:43:12 AM GMT'], 'Tampa Electric': ['89,084', '23,095', '10/2/2022 1:43:30 AM GMT'], 'Withlacoochee River Electric Coop': ['574', '0', '10/2/2022 1:43:18 AM GMT']}"
Putnam,"42,813",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['21,953', '0', '10/2/2022 1:43:20 AM GMT'], 'Florida Power & Light Company': ['20,860', '0', '10/2/2022 1:43:19 AM GMT']}"
Sarasota,"287,123","111,970",39%,10/2/2022 1:43:19 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:57 AM GMT'], 'Florida Power & Light Company': ['287,120', '111,930', '10/2/2022 1:43:19 AM GMT'], 'Peace River Electric Coop': ['3', '40', '10/2/2022 12:32:49 AM GMT']}"
Seminole,"225,152","34,959",15.53%,10/2/2022 1:43:19 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:55 AM GMT'], 'Duke Energy': ['164,762', '25,889', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['60,390', '9,070', '10/2/2022 1:43:19 AM GMT']}"
St. Lucie,"173,837",180,0.1%,10/2/2022 1:43:19 AM GMT,"{'Florida Power & Light Company': ['145,010', '180', '10/2/2022 1:43:19 AM GMT'], 'Fort Pierce Utilities Authority': ['28,827', '0', '10/1/2022 8:43:17 PM GMT']}"
Sumter,"85,467",84,0.1%,10/2/2022 1:43:31 AM GMT,"{'Duke Energy': ['16,117', '84', '10/2/2022 1:40:04 AM GMT'], 'SECO Energy': ['68,317', '0', '10/2/2022 1:43:31 AM GMT'], 'Withlacoochee River Electric Coop': ['1,033', '0', '10/2/2022 1:43:18 AM GMT']}"
Suwannee,"24,340",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['10', '0', '10/2/2022 1:43:20 AM GMT'], 'Duke Energy': ['857', '0', '10/2/2022 1:40:04 AM GMT'], 'Florida Power & Light Company': ['5,150', '0', '10/1/2022 5:53:35 PM GMT'], 'Suwannee Valley Electric Cooperative': ['18,323', '0', '10/2/2022 1:43:13 AM GMT']}"
Taylor,"13,704",0,0%,10/2/2022 1:43:12 AM GMT,"{'Clay Electric Coop': ['0', '0', '3/14/2020 12:11:53 AM GMT'], 'Duke Energy': ['6,245', '0', '10/2/2022 1:40:04 AM GMT'], 'Tri-County Electric Coop': ['7,459', '0', '10/2/2022 1:43:12 AM GMT']}"
Union,"5,749",0,0%,10/2/2022 1:43:20 AM GMT,"{'Clay Electric Coop': ['4,069', '0', '10/2/2022 1:43:20 AM GMT'], 'Florida Power & Light Company': ['1,680', '0', '10/1/2022 8:43:20 PM GMT']}"
